RO #,Ro Closed Date,Advisor ,Tech,Customer Name,Year,Make,Model,Mileage,Op Code,Op Code Name,Task Status,Total
" 224118"," 21/01/26 08:45 AM"," Advisor A"," Tech B"," Roy, Jason"," 2015"," Jeep"," Renegade"," 150133"," BRKSERVICE"," Brake service due every 32,000km"," Caution"," 185.0"
" 224118"," 21/01/26 08:45 AM"," Advisor A"," Tech B"," Roy, Jason"," 2015"," Jeep"," Renegade"," 150133"," LOFSYN"," Synthetic oil change due every 8000km"," Fail"," 190.0"
" 224118"," 21/01/26 08:45 AM"," Advisor A"," Tech B"," Roy, Jason"," 2015"," Jeep"," Renegade"," 150133"," LEAK"," Fluid leak identified, needs further diag"," Caution"," 194.95"
" 224118"," 21/01/26 08:45 AM"," Advisor A"," Tech B"," Roy, Jason"," 2015"," Jeep"," Renegade"," 150133"," CABIN"," Cabin air filter dirty, needs replacement"," Caution"," 60.0"
" 224125"," 22/01/26 01:13 PM"," Advisor A"," Tech D"," Johnson, Karen"," 2019"," Fiat"," 500"," 110346"," DRIVELINE"," Driveline service due every 96,000km"," Fail"," 850.0"
" 224125"," 22/01/26 01:13 PM"," Advisor A"," Tech D"," Johnson, Karen"," 2019"," Fiat"," 500"," 110346"," AIRFILTER"," Engine air filter dirty, needs replacement"," Fail"," 94.0"
" 224129"," 07/02/26 02:49 PM"," Advisor A"," Tech A"," Martin, Jonathan"," 2017"," Jeep"," Renegade"," 174455"," CABIN"," Cabin air filter dirty, needs replacement"," Fail"," 60.0"
" 224129"," 07/02/26 02:49 PM"," Advisor A"," Tech A"," Martin, Jonathan"," 2017"," Jeep"," Renegade"," 174455"," LEAK"," Fluid leak identified, needs further diag"," Caution"," 194.95"
" 224134"," 27/02/26 04:18 PM"," Advisor B"," Tech E"," Fraser, Laura"," 2018"," Dodge"," Journey"," 73183"," WS"," Windshield heavily damaged, recommend replace"," Caution"," 450.0"
" 224134"," 27/02/26 04:18 PM"," Advisor B"," Tech E"," Fraser, Laura"," 2018"," Dodge"," Journey"," 73183"," CFLUSH"," Coolant flush due every 100,000km"," Fail"," 260.0"
" 224134"," 27/02/26 04:18 PM"," Advisor B"," Tech E"," Fraser, Laura"," 2018"," Dodge"," Journey"," 73183"," LEAK"," Fluid leak identified, needs further diag"," Caution"," 194.95"
" 224134"," 27/02/26 04:18 PM"," Advisor B"," Tech E"," Fraser, Laura"," 2018"," Dodge"," Journey"," 73183"," BRKSERVICE"," Brake service due every 32,000km"," Fail"," 185.0"
" 224135"," 09/03/26 11:10 AM"," Advisor A"," Tech E"," Phillips, William"," 2017"," Fiat"," 500"," 77436"," LEAK"," Fluid leak identified, needs further diag"," Fail"," 194.95"
